Utm_E,Utm_N, Well Number,Aquifer System,Sampled Interval,Date,Year,Analysis by,Alkalinity Field,Alkalinity Lab,TDS,pH Field,pH Lab,Temp Field,Chloride,Fluoride,Hardness,Total Noncarbonate,Nitrate,Calcium Total,Calcium  Dissolved,Iron Total,Iron Dissolved,Magnesium Total,Magnesium  Dissolved,Manganese Total,Manganese Dissolved,Potassium Total,Potassium Dissolved,Silica Total ,Silica Dissolved,Sodium Total,Sodium Dissolved,,,
629627,3641786,14CC-b1,L/BM,90-240,7/26/79,1979,USGS,,280,1020,7.7,8,21.5,380,1.7,74,0,,,9.7,,10,,12,,0,,26,,38,,380,,,
618016,3643642,15BB-y1,L/BM,230-425,6/23/80,1980,SCWRC,,246,482,,,22.2,92,1.6,36,,,5.5,5,30,,5.2,4.8,0.01,0,18.3,17.4,,22.3,140,140,,250,
621911,3641688,15CC-b2,L/BM,156-300,3/3/81,1981,SCWRC,336,,1056,8.3,,20.7,364,2.3,50,,,36.4,8.8,2000,0,8.4,8.1,0,0,25.2,24.3,,40.5,320,300,,1750,
620870,3641829,15CC-c1,L/BM,TD 271,3/6/81,1981,SCWRC,336,,1020,8.1,,21,400,2.2,102,,,30.2,13.1,1260,29,16,13.1,0,0,27.3,26.3,,45.6,324,304,,470,
604299,3648693,17BB-g1,L/BM,219-315,4/19/76,1976,COM,,260,570,,8.3,,64,1.5,70,,,11.2,,120,,10.2,,0,,,,22,,153,,,2500,
604685,3649035,17BB-h1,BM,271-304,11/9/79,1979,COM,,320,570,,8.4,,176,1.6,70,,,12.8,,20,,9.2,,0,,,,24,,242,,,437,
607856,3632038,17DD-a3,L/BM,200-415,12/21/82,1982,SCWRC,653,,1638,8.4,,21,441,5.4,,,,6.5,6.3,291,23,9.1,9,0,0,28.5,27.4,,44.1,800,760,,,
603073,3631833,17DD-d1,L/BM,TD 350,4/7/82,1982,SCWRC,653,,,7.4,,23,946,3.9,,,,10,8.5,24,20,14.1,12.6,0,0,44.3,35.7,,38.5,672,660,,,
602340,3696689,17W-d2,BM,125-143,5/3/73,1973,USGS,,189,240,7.4,,,10,0.5,180,,0,66,,10,,3,,,,4.2,,28,,9.8,,,,
599269,3658281,18AA-i1,BM,280-298,,,COM,,588,1148,,8.5,,123,2,20,,,,5.6,,0.01,,1.5,,0,,,,28,,353,,specific conductance: 335,
600521,3652565,18AA-u1,BM,200-280,1/21/82,1982,SCWRC,424,,809,8.7,,20.5,167,2.2,,18.2,,3.5,3.42,20,17,2.3,2.15,0,0,15.5,14.8,,35.9,285,280,,755,
595671,3638873,18CC-g1,L/BM,308-440,2/15/80,1980,SCWRC,768,,1384,8.5,8.3,2037,265,4.8,252,,,4.7,4.6,41,46,5.1,5.1,0,0,23.5,23.4,,19.7,460,460,,,
596307,3640296,18CC-g2,L/BM,TD 450,12/21/82,1982,SCWRC,528,,1304,8.7,,20,250,5.2,,,,4.5,4.4,101,38,6,5.8,0,0,20.2,19.6,,50.6,507,483,,1650,
